 allocated memory at: 0x60217cd28000
after memory allocation
after identifying candidate routines
after chaining all branch targets
after setting initial estimated new ins addrs in tc
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4d22a9: jmp 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4d3a77: call 0x60217c4aa6e8
jump to orig addr: 0x60217c992deb : 0x60217c4d4562: call 0x60217c992deb
jump to orig addr: 0x60217c992deb : 0x60217c4d45ab: call 0x60217c992deb
jump to orig addr: 0x60217c997d55 : 0x60217c4d48c1: call 0x60217c997d55
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4d525f: jmp 0x60217c4aa6e8
jump to orig addr: 0x60217c8a6d4d : 0x60217c4d599b: call 0x60217c8a6d4d
jump to orig addr: 0x60217c992deb : 0x60217c4d6300: call 0x60217c992deb
jump to orig addr: 0x60217c4aa630 : 0x60217c4d6894: call 0x60217c4aa630
jump to orig addr: 0x60217c4aa650 : 0x60217c4d6908: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa650 : 0x60217c4d6940: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa330 : 0x60217c4d694c: call 0x60217c4aa330
jump to orig addr: 0x60217c4aa3d0 : 0x60217c4d6dca: call 0x60217c4aa3d0
jump to orig addr: 0x60217c4aa360 : 0x60217c4d71a1: call 0x60217c4aa360
jump to orig addr: 0x60217c4aa680 : 0x60217c4d71d5: call 0x60217c4aa680
jump to orig addr: 0x60217c4aa290 : 0x60217c4d71fc: call 0x60217c4aa290
jump to orig addr: 0x60217c4aa290 : 0x60217c4d7211: call 0x60217c4aa290
jump to orig addr: 0x60217c4aa360 : 0x60217c4d7834: call 0x60217c4aa360
jump to orig addr: 0x60217c4aa570 : 0x60217c4d7891: call 0x60217c4aa570
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4d78ac: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4d78c3: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4d78da: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4d78f1: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4d7908: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4d791f: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4d7947: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4d7cf0: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4d8607: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4d861a: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4d862d: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4d8640: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4d8730: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4d8747: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4d875a: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4d876d: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa360 : 0x60217c4d8e94: call 0x60217c4aa360
jump to orig addr: 0x60217c4aa180 : 0x60217c4d8ebf: call 0x60217c4aa180
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4d8ef1: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa510 : 0x60217c4db802: call 0x60217c4aa510
jump to orig addr: 0x60217c4aa2e0 : 0x60217c4db828: call 0x60217c4aa2e0
jump to orig addr: 0x60217c4aa470 : 0x60217c4db905: call 0x60217c4aa470
jump to orig addr: 0x60217c4aa2e0 : 0x60217c4dbe45: call 0x60217c4aa2e0
jump to orig addr: 0x60217c4aa160 : 0x60217c4df06c: jmp 0x60217c4aa160
jump to orig addr: 0x60217c4aa3d0 : 0x60217c4ed065: call 0x60217c4aa3d0
jump to orig addr: 0x60217c4aa290 : 0x60217c4ed0ad: call 0x60217c4aa290
jump to orig addr: 0x60217c89d143 : 0x60217c4ed94b: jmp 0x60217c89d143
jump to orig addr: 0x60217c4aa3d0 : 0x60217c4edf29: call 0x60217c4aa3d0
jump to orig addr: 0x60217c4aa360 : 0x60217c4edf5f: call 0x60217c4aa360
jump to orig addr: 0x60217c4aa680 : 0x60217c4edf93: call 0x60217c4aa680
jump to orig addr: 0x60217c4aa4d0 : 0x60217c4edfb1: call 0x60217c4aa4d0
jump to orig addr: 0x60217c4aa680 : 0x60217c4ee053: call 0x60217c4aa680
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4ee890: jmp 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa360 : 0x60217c4ee8ef: call 0x60217c4aa360
jump to orig addr: 0x60217c4aa5d0 : 0x60217c4ee910: call 0x60217c4aa5d0
jump to orig addr: 0x60217c4aa5d0 : 0x60217c4ee920: call 0x60217c4aa5d0
jump to orig addr: 0x60217c4aa2e0 : 0x60217c4effc6: call 0x60217c4aa2e0
jump to orig addr: 0x60217c4aa290 : 0x60217c4f03cd: call 0x60217c4aa290
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4f043f: call 0x60217c4aa6f8
